timestamp,price,market_cap,total_volume
2022-02-22 03:00:00,37059.97940228752,703004241590.1829,25174914104.16337
2022-02-23 03:00:00,38337.2038554348,727094284067.6588,22212181617.200245
2022-02-24 03:00:00,37372.2926803477,708829287814.1068,18507851467.85067
2022-02-25 03:00:00,38363.345488570165,727657714638.0917,40839699480.89129
2022-02-26 03:00:00,39316.16207578596,745763194704.1796,22579249141.515377
2022-02-27 03:00:00,39090.202153609054,741083625917.93,14568201294.74542
2022-02-28 03:00:00,37803.59016044929,717619764688.0872,19424397945.6196
2022-03-01 03:00:00,43225.40467743573,819019441071.749,30634280854.538326
2022-03-02 03:00:00,44459.59162774341,841254375272.0455,27880763034.093918
2022-03-03 03:00:00,43980.707382090906,834437956671.6672,25615956856.40275
2022-03-04 03:00:00,42491.97839335905,807454920681.7217,22366184128.90048
2022-03-05 03:00:00,39200.29973557414,743810477766.2219,25121267305.979286
2022-03-06 03:00:00,39463.14681149058,748197160856.1006,14818212144.749968
2022-03-07 03:00:00,38442.99174588676,729501899968.2964,16995562040.606796
2022-03-08 03:00:00,38076.49382252028,723198804467.6718,24596395439.058964
2022-03-09 03:00:00,38732.93701302586,735453953725.9198,22556397749.428085
2022-03-10 03:00:00,41986.03444607623,796849504897.2562,29211702119.448605
2022-03-11 03:00:00,39468.35477300189,749384110700.1091,27653455219.04128
2022-03-12 03:00:00,38775.17558840679,738267961692.6816,23624165274.522385
2022-03-13 03:00:00,38903.69354800599,738456528057.6692,12440826653.84724
2022-03-14 03:00:00,37852.52514106289,718551088031.3688,14461647575.513742
2022-03-15 03:00:00,39669.423812004505,751354026218.9767,21250969229.2216
2022-03-16 03:00:00,39331.84654059453,747642430663.595,20768829817.93864
2022-03-17 03:00:00,41165.63506140341,779761001844.4108,34974203468.766266
2022-03-18 03:00:00,41001.70957801974,778474325709.8895,18861644942.593346
2022-03-19 03:00:00,41837.41313797566,794378970588.3145,30316128166.48974
2022-03-20 03:00:00,42201.939920688186,800887993391.0255,16580741571.959858
2022-03-21 03:00:00,41283.25900104565,784054464871.6631,16856192301.960054
2022-03-22 03:00:00,41061.81589384987,779205413378.8728,21335882483.3158
2022-03-23 03:00:00,42401.89559748944,803937099701.4115,28688623151.357098
2022-03-24 03:00:00,42802.15471016985,810894331277.664,21851891598.642384
2022-03-25 03:00:00,43936.09623454058,834251096724.507,26212783703.864426
2022-03-26 03:00:00,44331.77795706412,842031938721.7855,26147756108.07925
2022-03-27 03:00:00,44510.84421762133,845235093872.7649,13676534294.229202
2022-03-28 03:00:00,46715.1176185105,887283025181.1342,22545392529.67392
2022-03-29 03:00:00,46994.879118357465,892747620147.7012,30051327357.066643
2022-03-30 03:00:00,47459.261237539096,901430001889.0,26128040680.825665
2022-03-31 03:00:00,47063.36584996355,895356010540.8462,24497248306.346912
2022-04-01 03:00:00,45528.40715313835,865010142444.9791,27736469645.537266
2022-04-02 03:00:00,46270.20070585378,879144224206.3806,32948605532.13528
2022-04-03 03:00:00,45842.14476317382,871050305858.7916,24803837259.76474
2022-04-04 03:00:00,46434.562982661664,882346640419.069,21510196790.30345
2022-04-05 03:00:00,46622.63571309101,885584977681.2438,28019309650.72574
2022-04-06 03:00:00,45635.45438126673,867247321783.443,25474063861.60569
2022-04-07 03:00:00,43198.77526936491,820983263462.4961,34113818641.77575
2022-04-08 03:00:00,43515.15032279806,827032889944.6309,22960138784.304127
2022-04-09 03:00:00,42315.70972421807,804272478980.6077,24202906401.166885
2022-04-10 03:00:00,42796.39747810973,812734148492.5116,13949535311.5313
2022-04-11 03:00:00,42274.907370256085,803574629064.9272,14936318818.778025
2022-04-12 03:00:00,39603.96515928416,752680814425.1921,30168665078.21043
2022-04-13 03:00:00,40205.67794073206,764314681923.3135,27804694935.48352
2022-04-14 03:00:00,41205.16871904067,783560801481.9719,25453869985.97185
2022-04-15 03:00:00,39959.457069033735,759703443634.6515,22744792147.00975
2022-04-16 03:00:00,40586.59730938673,771666602547.5923,22053774554.17729
2022-04-17 03:00:00,40450.37930543977,770439827829.2395,15777789210.238447
2022-04-18 03:00:00,39739.11925622209,755627152747.4514,16627779441.567648
2022-04-19 03:00:00,40833.5379650337,776463403746.4385,30617039399.980103
2022-04-20 03:00:00,41498.12244669832,789141783336.2104,22717772925.289574
2022-04-21 03:00:00,41397.220477279625,787437397453.9304,24937668255.073463
2022-04-22 03:00:00,40528.54148675958,770787243369.5001,32131220615.550182
2022-04-23 03:00:00,39756.848993471016,756144456297.8489,46022063018.95215
2022-04-24 03:00:00,39561.78019075613,752414150959.3553,15010797471.968073
2022-04-25 03:00:00,39469.04986198146,752446283899.8965,16778683767.597218
2022-04-26 03:00:00,40488.877917622376,770112436973.4149,32883645913.96472
2022-04-27 03:00:00,38134.21545068938,725434540422.046,31053018153.386677
2022-04-28 03:00:00,39237.94931747103,746473028158.29,28170490245.865635
2022-04-29 03:00:00,39741.76664580964,756090806420.8264,31484572271.03238
2022-04-30 03:00:00,38650.55013809267,735829877665.6912,27758348826.409065
2022-05-01 03:00:00,37820.61176529208,719611115951.2947,20955789685.35568
2022-05-02 03:00:00,38537.65476669535,733294957352.5364,24857664487.014507
2022-05-03 03:00:00,38561.56539902362,733787526677.6703,29825308569.42226
2022-05-04 03:00:00,37758.496107734,718542028695.8999,23070122642.32804
2022-05-05 03:00:00,39699.02404125388,755764276888.7715,31748901527.20592
2022-05-06 03:00:00,36612.22954880304,696020943881.887,37402043365.58407
2022-05-07 03:00:00,36116.394294982965,687093350325.4445,32223287014.454
